MONDO:0000214	hypermanganesemia with dystonia	ジストニアを伴う高マンガン血症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000222	seminal vesicle acute gonorrhea	精嚢急性淋病	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000224	acquired carbohydrate metabolism disease	後天性糖質代謝疾患	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000225	human monocytic ehrlichiosis	ヒト単球性エールリヒア症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000226	mineral metabolism disease	ミネラル代謝疾患	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000227	African tick-bite fever	アフリカダニ熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000229	Indian tick typhus	地中海紅斑熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000230	Israeli tick typhus	イスラエル紅斑熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000231	Far eastern spotted fever	極東紅斑熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000232	Flinders island spotted fever	フリンダーズ島紅斑熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000233	Japanese spotted fever	日本紅斑熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000234	Rickettsia parkeri spotted fever	リケッチア・パルケリ紅斑熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000236	oropharyngeal anthrax	口腔咽頭炭疽	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000239	adiaspiromycosis	アジアスピロミコーシス	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000240	invasive aspergillosis	侵襲性アスペルギルス症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000241	Keshan disease	克山病	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000242	tinea barbae	白癬性毛瘡	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000243	ectothrix infectious disease	毛外菌感染症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000244	endothrix infectious disease	毛内菌感染症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000245	tinea imbricata	渦状癬	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000248	dengue shock syndrome	デングショック症候群	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000249	secretory diarrhea	分泌性下痢	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000250	osmotic diarrheal disease	浸透圧性下痢	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000251	diarrheal disease secondary to altered bowel motility	腸運動性変化に続発する下痢症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000252	inflammatory diarrhea	炎症性下痢	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000253	piedra	砂毛症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000254	cutaneous mycosis	皮膚真菌症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000255	subcutaneous mycosis	皮下真菌症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000256	systemic mycosis	全身性真菌症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000257	acute diarrhea	急性下痢	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000259	asymptomatic dengue	無症候性デング熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000261	adenoiditis	アデノイド咽頭炎	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000262	otomycosis	外耳道真菌症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000263	laryngotracheitis	喉頭気管炎	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000265	aspiration pneumonia	誤嚥性肺炎	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000266	pulmonary aspergilloma	肺アスペルギローマ	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000270	lower respiratory tract disorder	下気道障害	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000271	tuberculous salpingitis	結核性卵管炎	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000273	Kunjin virus infectous disease	クンジンウイルス感染症	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000276	Powassan encephalitis	ポワッサン脳炎	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000282	Whitewater Arroyo hemorrhagic fever	ホワイトウォーターアロヨ出血熱	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
MONDO:0000283	Hantavirus hemorrhagic fever with renal syndrome, Seoul virus type	腎症候群を伴うハンタウイルス出血熱, ソウルウイルス型	http://purl.obolibrary.org/obo/mondo/releases/2025-05-06/mondo.owl
